cluster,year,first_year,cluster_used
HK68,1968,1968,1
HK68,1969,1968,1
HK68,1970,1968,1
HK68,1971,1968,1
EN72,1972,1972,2
EN72,1973,1972,2
VI75,1974,1974,3
VI75,1975,1974,3
VI75,1976,1974,3
TX77,1977,1977,4
BK79,1978,1978,5
BK79,1979,1978,5
BK79,1980,1978,5
BK79,1981,1978,5
BK79,1982,1978,5
BK79,1983,1978,5
PH82,1984,1984,6
PH82,1985,1984,6
PH82,1986,1984,6
SI87,1987,1987,7
SI87,1988,1987,7
SI87,1989,1987,7
BE89,1990,1990,8
BE89,1991,1987,7
BE92,1992,1992,9
BE92,1993,1992,9
BE92,1994,1992,9
WU95,1995,1995,10
WU95,1996,1995,10
WU95+,1997,1995,11
SY97,1998,1998,12
SY97,1999,1998,12
SY97,2000,1998,12
FU02,2001,2001,13
FU02,2002,2001,13
FU02,2003,2001,13
CA04,2004,2004,14
CA04,2005,2004,14
JX06,2006,2004,15
BR07,2007,2007,16
BR07,2008,2007,16
PE09,2009,2009,17
PE09,2010,2009,17
PE09,2011,2009,17
PE09,2012,2009,17
N/A,2013,2013,18
N/A,2014,2013,18
N/A,2015,2013,18
