"Age group","Virus","Proportion seropositive (>= 1:40)","alive"
"(10,20]","A/Bangkok/1979",0,"FALSE"
"(10,20]","A/Beijing/1989",0,"FALSE"
"(10,20]","A/Beijing/1992",0.0625,"FALSE"
"(10,20]","A/Brisbane/2007",0.833333333333333,"TRUE"
"(10,20]","A/California/2004",0.9375,"TRUE"
"(10,20]","A/England/1972",0,"FALSE"
"(10,20]","A/Fujian/2000",0.8125,"TRUE"
"(10,20]","A/Fujian/2002",1,"TRUE"
"(10,20]","A/HongKong/1968",0,"FALSE"
"(10,20]","A/HongKong/2014",0.333333333333333,"TRUE"
"(10,20]","A/Mississippi/1985",0,"FALSE"
"(10,20]","A/Perth/2009",0.354166666666667,"TRUE"
"(10,20]","A/Philippines/1982",0,"FALSE"
"(10,20]","A/Sichuan/1987",0,"FALSE"
"(10,20]","A/Texas/1977",0,"FALSE"
"(10,20]","A/Texas/2012",0.520833333333333,"TRUE"
"(10,20]","A/Victoria/1975",0,"FALSE"
"(10,20]","A/Victoria/1998",0.854166666666667,"TRUE"
"(10,20]","A/Victoria/2009",0.604166666666667,"TRUE"
"(10,20]","A/Wuhan/1995",0.291666666666667,"FALSE"
"(20,30]","A/Bangkok/1979",0.0091743119266055,"FALSE"
"(20,30]","A/Beijing/1989",0.302752293577982,"TRUE"
"(20,30]","A/Beijing/1992",0.89908256880734,"TRUE"
"(20,30]","A/Brisbane/2007",0.458715596330275,"TRUE"
"(20,30]","A/California/2004",0.798165137614679,"TRUE"
"(20,30]","A/England/1972",0.073394495412844,"FALSE"
"(20,30]","A/Fujian/2000",0.926605504587156,"TRUE"
"(20,30]","A/Fujian/2002",0.990825688073395,"TRUE"
"(20,30]","A/HongKong/1968",0.073394495412844,"FALSE"
"(20,30]","A/HongKong/2014",0.220183486238532,"TRUE"
"(20,30]","A/Mississippi/1985",0.330275229357798,"FALSE"
"(20,30]","A/Perth/2009",0.192660550458716,"TRUE"
"(20,30]","A/Philippines/1982",0.100917431192661,"FALSE"
"(20,30]","A/Sichuan/1987",0.412844036697248,"TRUE"
"(20,30]","A/Texas/1977",0.091743119266055,"FALSE"
"(20,30]","A/Texas/2012",0.422018348623853,"TRUE"
"(20,30]","A/Victoria/1975",0.0091743119266055,"FALSE"
"(20,30]","A/Victoria/1998",0.926605504587156,"TRUE"
"(20,30]","A/Victoria/2009",0.431192660550459,"TRUE"
"(20,30]","A/Wuhan/1995",0.788990825688073,"TRUE"
"(30,40]","A/Bangkok/1979",0.180327868852459,"TRUE"
"(30,40]","A/Beijing/1989",0.319672131147541,"TRUE"
"(30,40]","A/Beijing/1992",0.901639344262295,"TRUE"
"(30,40]","A/Brisbane/2007",0.286885245901639,"TRUE"
"(30,40]","A/California/2004",0.491666666666667,"TRUE"
"(30,40]","A/England/1972",0.122950819672131,"FALSE"
"(30,40]","A/Fujian/2000",0.655737704918033,"TRUE"
"(30,40]","A/Fujian/2002",0.877049180327869,"TRUE"
"(30,40]","A/HongKong/1968",0.115702479338843,"FALSE"
"(30,40]","A/HongKong/2014",0.180327868852459,"TRUE"
"(30,40]","A/Mississippi/1985",0.983606557377049,"TRUE"
"(30,40]","A/Perth/2009",0.172131147540984,"TRUE"
"(30,40]","A/Philippines/1982",0.524590163934426,"TRUE"
