"Age group","Virus","N","Number seroconverted","Percentage seroconverted (>= 4-fold rise)"
"(10,20]","A/Bangkok/1979",48,1,2.08333333333333
"(10,20]","A/Beijing/1989",48,2,4.16666666666667
"(10,20]","A/Beijing/1992",48,3,6.25
"(10,20]","A/Brisbane/2007",48,19,39.5833333333333
"(10,20]","A/California/2004",48,13,27.0833333333333
"(10,20]","A/England/1972",48,1,2.08333333333333
"(10,20]","A/Fujian/2000",48,4,8.33333333333333
"(10,20]","A/Fujian/2002",48,4,8.33333333333333
"(10,20]","A/HongKong/1968",48,0,0
"(10,20]","A/HongKong/2014",48,20,41.6666666666667
"(10,20]","A/Mississippi/1985",48,1,2.08333333333333
"(10,20]","A/Perth/2009",48,24,50
"(10,20]","A/Philippines/1982",48,1,2.08333333333333
"(10,20]","A/Sichuan/1987",48,2,4.16666666666667
"(10,20]","A/Texas/1977",48,1,2.08333333333333
"(10,20]","A/Texas/2012",48,23,47.9166666666667
"(10,20]","A/Victoria/1975",48,1,2.08333333333333
"(10,20]","A/Victoria/1998",48,4,8.33333333333333
"(10,20]","A/Victoria/2009",48,24,50
"(10,20]","A/Wuhan/1995",48,2,4.16666666666667
"(20,30]","A/Bangkok/1979",109,3,2.75229357798165
"(20,30]","A/Beijing/1989",109,13,11.9266055045872
"(20,30]","A/Beijing/1992",109,2,1.8348623853211
"(20,30]","A/Brisbane/2007",109,47,43.1192660550459
"(20,30]","A/California/2004",109,29,26.605504587156
"(20,30]","A/England/1972",109,1,0.91743119266055
"(20,30]","A/Fujian/2000",109,8,7.3394495412844
"(20,30]","A/Fujian/2002",109,9,8.25688073394495
"(20,30]","A/HongKong/1968",109,3,2.75229357798165
"(20,30]","A/HongKong/2014",109,52,47.7064220183486
"(20,30]","A/Mississippi/1985",109,5,4.58715596330275
"(20,30]","A/Perth/2009",109,52,47.7064220183486
"(20,30]","A/Philippines/1982",109,7,6.42201834862385
"(20,30]","A/Sichuan/1987",109,9,8.25688073394495
"(20,30]","A/Texas/1977",109,3,2.75229357798165
"(20,30]","A/Texas/2012",109,54,49.5412844036697
"(20,30]","A/Victoria/1975",109,2,1.8348623853211
"(20,30]","A/Victoria/1998",109,8,7.3394495412844
"(20,30]","A/Victoria/2009",109,55,50.4587155963303
"(20,30]","A/Wuhan/1995",109,7,6.42201834862385
"(30,40]","A/Bangkok/1979",121,8,6.61157024793388
"(30,40]","A/Beijing/1989",121,7,5.78512396694215
"(30,40]","A/Beijing/1992",121,3,2.47933884297521
"(30,40]","A/Brisbane/2007",121,50,41.3223140495868
"(30,40]","A/California/2004",119,26,21.8487394957983
"(30,40]","A/England/1972",121,1,0.826446280991736
"(30,40]","A/Fujian/2000",121,17,14.0495867768595
"(30,40]","A/Fujian/2002",121,19,15.702479338843
"(30,40]","A/HongKong/1968",120,13,10.8333333333333
"(30,40]","A/HongKong/2014",121,47,38.8429752066116
"(30,40]","A/Mississippi/1985",121,4,3.30578512396694
"(30,40]","A/Perth/2009",121,52,42.9752066115703
"(30,40]","A/Philippines/1982",121,10,8.26446280991735
"(30,40]","A/Sichuan/1987",121,15,12.396694214876
"(30,40]","A/Texas/1977",121,12,9.91735537190083
"(30,40]","A/Texas/2012",121,54,44.6280991735537
"(30,40]","A/Victoria/1975",121,21,17.3553719008264
"(30,40]","A/Victoria/1998",121,15,12.396694214876
"(30,40]","A/Victoria/2009",121,57,47.1074380165289
"(30,40]","A/Wuhan/1995",121,17,14.0495867768595
"(40,50]","A/Bangkok/1979",270,23,8.51851851851852
"(40,50]","A/Beijing/1989",270,25,9.25925925925926
"(40,50]","A/Beijing/1992",270,13,4.81481481481481
"(40,50]","A/Brisbane/2007",270,113,41.8518518518519
"(40,50]","A/California/2004",269,83,30.8550185873606
"(40,50]","A/England/1972",270,7,2.59259259259259
"(40,50]","A/Fujian/2000",270,34,12.5925925925926
"(40,50]","A/Fujian/2002",270,58,21.4814814814815
"(40,50]","A/HongKong/1968",270,14,5.18518518518519
"(40,50]","A/HongKong/2014",270,116,42.962962962963
"(40,50]","A/Mississippi/1985",270,9,3.33333333333333
"(40,50]","A/Perth/2009",270,135,50
"(40,50]","A/Philippines/1982",270,14,5.18518518518519
"(40,50]","A/Sichuan/1987",270,39,14.4444444444444
"(40,50]","A/Texas/1977",270,23,8.51851851851852
"(40,50]","A/Texas/2012",270,144,53.3333333333333
"(40,50]","A/Victoria/1975",270,23,8.51851851851852
"(40,50]","A/Victoria/1998",270,27,10
"(40,50]","A/Victoria/2009",270,143,52.962962962963
"(40,50]","A/Wuhan/1995",270,23,8.51851851851852
"(50,60]","A/Bangkok/1979",275,27,9.81818181818182
"(50,60]","A/Beijing/1989",274,29,10.5839416058394
"(50,60]","A/Beijing/1992",275,16,5.81818181818182
"(50,60]","A/Brisbane/2007",275,106,38.5454545454545
"(50,60]","A/California/2004",272,90,33.0882352941176
"(50,60]","A/England/1972",275,11,4
"(50,60]","A/Fujian/2000",275,41,14.9090909090909
"(50,60]","A/Fujian/2002",275,71,25.8181818181818
"(50,60]","A/HongKong/1968",275,18,6.54545454545455
"(50,60]","A/HongKong/2014",275,106,38.5454545454545
"(50,60]","A/Mississippi/1985",275,15,5.45454545454545
"(50,60]","A/Perth/2009",275,122,44.3636363636364
"(50,60]","A/Philippines/1982",275,18,6.54545454545455
"(50,60]","A/Sichuan/1987",274,44,16.0583941605839
"(50,60]","A/Texas/1977",275,23,8.36363636363636
"(50,60]","A/Texas/2012",275,128,46.5454545454545
"(50,60]","A/Victoria/1975",275,30,10.9090909090909
"(50,60]","A/Victoria/1998",275,36,13.0909090909091
"(50,60]","A/Victoria/2009",275,133,48.3636363636364
"(50,60]","A/Wuhan/1995",275,32,11.6363636363636
"(60,100]","A/Bangkok/1979",298,30,10.0671140939597
"(60,100]","A/Beijing/1989",299,37,12.3745819397993
"(60,100]","A/Beijing/1992",299,19,6.35451505016722
"(60,100]","A/Brisbane/2007",299,139,46.4882943143813
"(60,100]","A/California/2004",296,114,38.5135135135135
"(60,100]","A/England/1972",299,12,4.0133779264214
"(60,100]","A/Fujian/2000",299,63,21.0702341137124
"(60,100]","A/Fujian/2002",299,77,25.752508361204
"(60,100]","A/HongKong/1968",299,24,8.02675585284281
"(60,100]","A/HongKong/2014",299,136,45.4849498327759
"(60,100]","A/Mississippi/1985",299,17,5.68561872909699
"(60,100]","A/Perth/2009",299,149,49.8327759197324
"(60,100]","A/Philippines/1982",299,18,6.02006688963211
"(60,100]","A/Sichuan/1987",297,50,16.8350168350168
"(60,100]","A/Texas/1977",299,24,8.02675585284281
"(60,100]","A/Texas/2012",299,165,55.1839464882943
"(60,100]","A/Victoria/1975",299,22,7.35785953177258
"(60,100]","A/Victoria/1998",299,58,19.3979933110368
"(60,100]","A/Victoria/2009",299,161,53.8461538461538
"(60,100]","A/Wuhan/1995",299,42,14.0468227424749
"[0,10]","A/Bangkok/1979",7,0,0
"[0,10]","A/Beijing/1989",7,0,0
"[0,10]","A/Beijing/1992",7,0,0
"[0,10]","A/Brisbane/2007",7,4,57.1428571428571
"[0,10]","A/California/2004",7,4,57.1428571428571
"[0,10]","A/England/1972",7,0,0
"[0,10]","A/Fujian/2000",7,3,42.8571428571429
"[0,10]","A/Fujian/2002",7,3,42.8571428571429
"[0,10]","A/HongKong/1968",7,0,0
"[0,10]","A/HongKong/2014",7,4,57.1428571428571
"[0,10]","A/Mississippi/1985",7,0,0
"[0,10]","A/Perth/2009",7,4,57.1428571428571
"[0,10]","A/Philippines/1982",7,0,0
"[0,10]","A/Sichuan/1987",7,0,0
"[0,10]","A/Texas/1977",7,0,0
"[0,10]","A/Texas/2012",7,4,57.1428571428571
"[0,10]","A/Victoria/1975",7,0,0
"[0,10]","A/Victoria/1998",7,2,28.5714285714286
"[0,10]","A/Victoria/2009",7,4,57.1428571428571
"[0,10]","A/Wuhan/1995",7,0,0
