"Date","Birth cohort","Lower 95% CrI","Posterior median","Upper 95% CrI","Precision","Coefficient of variation"
1968,"[-1968]",0.542296072507553,0.648036253776435,0.713028700906344,383.93026576669,0.0510356705461949
1968.25,"(1968,1978]",0,0.333333333333333,0.777777777777778,22.5552906914514,0.210559958182502
1968.25,"[-1968]",0.00151057401812689,0.0392749244712991,0.132968277945619,428.327311629142,0.0483183523306402
1968.5,"(1968,1978]",0,0.111111111111111,0.5,44.563853157756,0.149798902920731
1968.5,"[-1968]",0,0.0392749244712991,0.234214501510574,215.11539385609,0.0681811394605337
1968.75,"(1968,1978]",0,0.111111111111111,0.444444444444444,67.0890042979945,0.122088378803658
1968.75,"[-1968]",0,0.0332326283987915,0.193391238670695,379.008625783555,0.0513659651697716
1969,"(1968,1978]",0,0.0333333333333333,0.266666666666667,166.344868008282,0.0775345546367437
1969,"[-1968]",0,0.0181268882175227,0.104267371601208,1360.25764196243,0.0271137391000755
1969.25,"(1968,1978]",0,0.0789473684210526,0.290131578947368,144.761454426347,0.0831138750539031
1969.25,"[-1968]",0,0.0211480362537764,0.108799093655589,1171.36637936515,0.029218211108728
1969.5,"(1968,1978]",0,0.0869565217391304,0.304347826086957,134.792444908854,0.0861325340733818
1969.5,"[-1968]",0,0.0287009063444109,0.126925981873112,903.453716793255,0.0332695591047921
1969.75,"(1968,1978]",0,0.0961538461538462,0.307692307692308,139.400259593567,0.0846970353021428
1969.75,"[-1968]",0,0.0317220543806647,0.135989425981873,798.164012092476,0.035395979008134
1970,"(1968,1978]",0,0.0714285714285714,0.285714285714286,170.829757185468,0.0765100063847556
1970,"[-1968]",0,0.027190332326284,0.11333081570997,1016.00356774547,0.0313727351733275
1970.25,"(1968,1978]",0,0.05,0.25,223.114193720494,0.0669478139117725
1970.25,"[-1968]",0,0.0226586102719033,0.105740181268882,1158.83362213666,0.0293757833380838
1970.5,"(1968,1978]",0,0.0597014925373134,0.26865671641791,177.605866123803,0.0750362889352656
1970.5,"[-1968]",0,0.0241691842900302,0.116351963746224,984.207813183642,0.0318754699046019
