"Posterior draw","Year","N","Number of reinfections","Proportion reinfected"
1,1968,662,50,0.0755287009063444
1,1969,692,1,0.00144508670520231
1,1970,718,13,0.0181058495821727
1,1971,740,3,0.00405405405405405
1,1972,775,5,0.00645161290322581
1,1973,802,4,0.00498753117206983
1,1974,828,15,0.0181159420289855
1,1975,844,14,0.0165876777251185
1,1976,865,1,0.00115606936416185
1,1977,872,1,0.00114678899082569
1,1978,881,0,0
1,1979,892,1,0.00112107623318386
1,1980,902,1,0.00110864745011086
1,1981,920,0,0
1,1982,933,0,0
1,1983,947,25,0.0263991552270327
1,1984,959,2,0.00208550573514077
1,1985,966,18,0.0186335403726708
1,1986,978,0,0
1,1987,995,2,0.00201005025125628
1,1988,1002,2,0.00199600798403194
1,1989,1021,21,0.0205680705190989
1,1990,1040,0,0
1,1991,1047,0,0
1,1992,1054,37,0.0351043643263757
1,1993,1059,5,0.00472143531633617
1,1994,1070,17,0.0158878504672897
1,1995,1075,1,0.000930232558139535
1,1996,1082,5,0.00462107208872458
1,1997,1089,36,0.0330578512396694
1,1998,1095,1,0.00091324200913242
1,1999,1100,5,0.00454545454545455
1,2000,1106,14,0.0126582278481013
1,2001,1109,19,0.0171325518485122
1,2002,1112,5,0.00449640287769784
1,2003,1118,4,0.0035778175313059
1,2004,1121,19,0.0169491525423729
1,2005,1123,3,0.00267141585040071
1,2006,1125,1,0.000888888888888889
1,2007,1128,8,0.00709219858156028
1,2008,1129,3,0.00265721877767936
1,2009,1130,23,0.020353982300885
1,2010,1130,17,0.0150442477876106
1,2011,1122,39,0.0347593582887701
1,2012,1108,15,0.0135379061371841
1,2013,1074,17,0.015828677839851
1,2014,619,37,0.0597738287560582
2,1968,662,80,0.120845921450151
2,1969,692,1,0.00144508670520231
2,1970,718,12,0.0167130919220056
2,1971,740,0,0
2,1972,775,10,0.0129032258064516
2,1973,802,7,0.00872817955112219
2,1974,828,3,0.0036231884057971
2,1975,844,9,0.0106635071090047
2,1976,865,3,0.00346820809248555
2,1977,872,0,0
2,1978,881,1,0.00113507377979569
2,1979,892,0,0
2,1980,902,0,0
2,1981,920,1,0.00108695652173913
2,1982,933,2,0.00214362272240086
2,1983,947,15,0.0158394931362196
2,1984,959,4,0.00417101147028154
2,1985,966,15,0.015527950310559
2,1986,978,1,0.00102249488752556
2,1987,995,0,0
2,1988,1002,12,0.0119760479041916
2,1989,1021,6,0.00587659157688541
2,1990,1040,2,0.00192307692307692
2,1991,1047,1,0.000955109837631328
2,1992,1054,14,0.0132827324478178
2,1993,1059,10,0.00944287063267233
2,1994,1070,16,0.0149532710280374
2,1995,1075,2,0.00186046511627907
2,1996,1082,19,0.0175600739371534
2,1997,1089,6,0.00550964187327824
2,1998,1095,1,0.00091324200913242
2,1999,1100,4,0.00363636363636364
2,2000,1106,16,0.0144665461121157
2,2001,1109,8,0.00721370604147881
2,2002,1112,21,0.0188848920863309
2,2003,1118,6,0.00536672629695885
2,2004,1121,12,0.0107047279214987
2,2005,1123,0,0
2,2006,1125,5,0.00444444444444444
2,2007,1128,12,0.0106382978723404
2,2008,1129,0,0
2,2009,1130,36,0.031858407079646
2,2010,1130,27,0.0238938053097345
2,2011,1122,50,0.0445632798573975
2,2012,1108,17,0.0153429602888087
2,2013,1074,8,0.0074487895716946
2,2014,619,34,0.0549273021001615
12,1968,662,21,0.0317220543806647
12,1969,692,1,0.00144508670520231
12,1970,718,11,0.0153203342618384
12,1971,740,0,0
12,1972,775,18,0.0232258064516129
12,1973,802,4,0.00498753117206983
12,1974,828,6,0.0072463768115942
12,1975,844,9,0.0106635071090047
12,1976,865,0,0
12,1977,872,0,0
12,1978,881,0,0
12,1979,892,3,0.00336322869955157
12,1980,902,1,0.00110864745011086
12,1981,920,0,0
12,1982,933,2,0.00214362272240086
12,1983,947,1,0.00105596620908131
12,1984,959,1,0.00104275286757039
12,1985,966,4,0.0041407867494824
12,1986,978,1,0.00102249488752556
12,1987,995,1,0.00100502512562814
12,1988,1002,16,0.0159680638722555
12,1989,1021,3,0.0029382957884427
12,1990,1040,1,0.000961538461538462
12,1991,1047,2,0.00191021967526266
12,1992,1054,23,0.0218216318785579
12,1993,1059,9,0.0084985835694051
12,1994,1070,14,0.0130841121495327
12,1995,1075,4,0.00372093023255814
12,1996,1082,15,0.0138632162661738
12,1997,1089,6,0.00550964187327824
12,1998,1095,7,0.00639269406392694
12,1999,1100,13,0.0118181818181818
12,2000,1106,10,0.00904159132007233
12,2001,1109,25,0.0225428313796213
12,2002,1112,2,0.00179856115107914
12,2003,1118,25,0.0223613595706619
12,2004,1121,1,0.000892060660124889
12,2005,1123,1,0.000890471950133571
12,2006,1125,4,0.00355555555555556
12,2007,1128,5,0.00443262411347518
12,2008,1129,0,0
12,2009,1130,40,0.0353982300884956
12,2010,1130,25,0.0221238938053097
12,2011,1122,42,0.0374331550802139
12,2012,1108,15,0.0135379061371841
12,2013,1074,10,0.00931098696461825
12,2014,619,33,0.0533117932148627
14,1968,662,78,0.117824773413897
14,1969,692,1,0.00144508670520231
14,1970,718,5,0.00696378830083565
14,1971,740,2,0.0027027027027027
14,1972,775,7,0.00903225806451613
14,1973,802,2,0.00249376558603491
14,1974,828,18,0.0217391304347826
14,1975,844,5,0.00592417061611374
14,1976,865,0,0
14,1977,872,0,0
14,1978,881,1,0.00113507377979569
14,1979,892,2,0.00224215246636771
14,1980,902,0,0
14,1981,920,1,0.00108695652173913
14,1982,933,3,0.00321543408360129
14,1983,947,20,0.0211193241816262
14,1984,959,1,0.00104275286757039
14,1985,966,23,0.0238095238095238
14,1986,978,3,0.00306748466257669
14,1987,995,1,0.00100502512562814
14,1988,1002,6,0.00598802395209581
14,1989,1021,6,0.00587659157688541
14,1990,1040,0,0
14,1991,1047,0,0
14,1992,1054,39,0.0370018975332068
14,1993,1059,3,0.0028328611898017
14,1994,1070,28,0.0261682242990654
14,1995,1075,0,0
14,1996,1082,30,0.0277264325323475
14,1997,1089,0,0
14,1998,1095,20,0.0182648401826484
14,1999,1100,2,0.00181818181818182
14,2000,1106,17,0.015370705244123
14,2001,1109,14,0.0126239855725879
14,2002,1112,16,0.0143884892086331
14,2003,1118,9,0.00805008944543828
14,2004,1121,20,0.0178412132024978
14,2005,1123,2,0.00178094390026714
14,2006,1125,0,0
14,2007,1128,6,0.00531914893617021
14,2008,1129,0,0
14,2009,1130,41,0.036283185840708
14,2010,1130,18,0.015929203539823
14,2011,1122,50,0.0445632798573975
14,2012,1108,20,0.0180505415162455
14,2013,1074,17,0.015828677839851
14,2014,619,40,0.0646203554119548
15,1968,662,96,0.145015105740181
15,1969,692,2,0.00289017341040462
15,1970,718,12,0.0167130919220056
15,1971,740,1,0.00135135135135135
15,1972,775,5,0.00645161290322581
15,1973,802,6,0.00748129675810474
15,1974,828,12,0.0144927536231884
15,1975,844,9,0.0106635071090047
15,1976,865,1,0.00115606936416185
15,1977,872,0,0
15,1978,881,1,0.00113507377979569
15,1979,892,2,0.00224215246636771
15,1980,902,1,0.00110864745011086
15,1981,920,0,0
15,1982,933,0,0
15,1983,947,20,0.0211193241816262
15,1984,959,15,0.0156412930135558
15,1985,966,4,0.0041407867494824
15,1986,978,1,0.00102249488752556
15,1987,995,4,0.00402010050251256
15,1988,1002,3,0.0029940119760479
15,1989,1021,12,0.0117531831537708
15,1990,1040,1,0.000961538461538462
15,1991,1047,2,0.00191021967526266
15,1992,1054,14,0.0132827324478178
15,1993,1059,1,0.000944287063267233
15,1994,1070,22,0.0205607476635514
15,1995,1075,1,0.000930232558139535
15,1996,1082,2,0.00184842883548983
15,1997,1089,8,0.00734618916437098
15,1998,1095,1,0.00091324200913242
15,1999,1100,8,0.00727272727272727
15,2000,1106,10,0.00904159132007233
15,2001,1109,12,0.0108205590622182
15,2002,1112,35,0.0314748201438849
15,2003,1118,1,0.000894454382826476
15,2004,1121,8,0.00713648528099911
15,2005,1123,0,0
15,2006,1125,2,0.00177777777777778
15,2007,1128,7,0.00620567375886525
15,2008,1129,4,0.00354295837023915
15,2009,1130,31,0.0274336283185841
15,2010,1130,28,0.0247787610619469
15,2011,1122,42,0.0374331550802139
15,2012,1108,8,0.0072202166064982
15,2013,1074,16,0.0148975791433892
15,2014,619,35,0.0565428109854604
18,1968,662,110,0.166163141993958
18,1969,692,0,0
18,1970,718,4,0.00557103064066852
18,1971,740,4,0.00540540540540541
18,1972,775,6,0.00774193548387097
18,1973,802,5,0.00623441396508728
