"Posterior draw","Year","N","Number of reinfections","Proportion reinfected"
6,1968,662,51,0.0770392749244713
6,1969,692,16,0.023121387283237
6,1970,718,4,0.00557103064066852
6,1971,740,16,0.0216216216216216
6,1972,775,7,0.00903225806451613
6,1973,802,9,0.0112219451371571
6,1974,828,13,0.0157004830917874
6,1975,844,22,0.0260663507109005
6,1976,865,1,0.00115606936416185
6,1977,872,2,0.00229357798165138
6,1978,881,0,0
6,1979,892,1,0.00112107623318386
6,1980,902,2,0.00221729490022173
6,1981,920,4,0.00434782608695652
6,1982,933,0,0
6,1983,947,40,0.0422386483632524
6,1984,959,5,0.00521376433785193
6,1985,966,33,0.0341614906832298
6,1986,978,1,0.00102249488752556
6,1987,995,4,0.00402010050251256
6,1988,1002,3,0.0029940119760479
6,1989,1021,37,0.0362389813907933
6,1990,1040,1,0.000961538461538462
6,1991,1047,0,0
6,1992,1054,81,0.0768500948766603
6,1993,1059,18,0.0169971671388102
6,1994,1070,32,0.0299065420560748
6,1995,1075,1,0.000930232558139535
6,1996,1082,14,0.0129390018484288
6,1997,1089,35,0.032139577594123
6,1998,1095,7,0.00639269406392694
6,1999,1100,8,0.00727272727272727
6,2000,1106,30,0.027124773960217
6,2001,1109,53,0.0477908025247971
6,2002,1112,23,0.0206834532374101
6,2003,1118,5,0.00447227191413238
6,2004,1121,48,0.0428189116859946
6,2005,1123,6,0.00534283170080142
6,2006,1125,4,0.00355555555555556
6,2007,1128,10,0.00886524822695036
6,2008,1129,13,0.0115146147032772
6,2009,1130,85,0.0752212389380531
6,2010,1130,48,0.0424778761061947
6,2011,1122,123,0.109625668449198
6,2012,1108,57,0.0514440433212996
6,2013,1074,40,0.037243947858473
6,2014,619,69,0.111470113085622
8,1968,662,129,0.194864048338369
8,1969,692,2,0.00289017341040462
8,1970,718,5,0.00696378830083565
8,1971,740,7,0.00945945945945946
8,1972,775,7,0.00903225806451613
8,1973,802,14,0.0174563591022444
8,1974,828,30,0.036231884057971
8,1975,844,10,0.0118483412322275
8,1976,865,0,0
8,1977,872,1,0.00114678899082569
8,1978,881,0,0
8,1979,892,3,0.00336322869955157
8,1980,902,4,0.00443458980044346
8,1981,920,1,0.00108695652173913
8,1982,933,4,0.00428724544480171
8,1983,947,15,0.0158394931362196
8,1984,959,7,0.0072992700729927
8,1985,966,22,0.0227743271221532
8,1986,978,5,0.00511247443762781
8,1987,995,4,0.00402010050251256
8,1988,1002,28,0.0279441117764471
8,1989,1021,9,0.00881488736532811
8,1990,1040,0,0
8,1991,1047,7,0.00668576886341929
8,1992,1054,77,0.0730550284629981
8,1993,1059,17,0.016052880075543
8,1994,1070,41,0.0383177570093458
8,1995,1075,4,0.00372093023255814
8,1996,1082,15,0.0138632162661738
8,1997,1089,11,0.0101010101010101
8,1998,1095,7,0.00639269406392694
8,1999,1100,28,0.0254545454545455
8,2000,1106,41,0.0370705244122966
8,2001,1109,24,0.0216411181244364
8,2002,1112,42,0.0377697841726619
8,2003,1118,3,0.00268336314847943
8,2004,1121,3,0.00267618198037467
8,2005,1123,1,0.000890471950133571
8,2006,1125,10,0.00888888888888889
8,2007,1128,15,0.0132978723404255
8,2008,1129,6,0.00531443755535872
8,2009,1130,91,0.0805309734513274
8,2010,1130,58,0.0513274336283186
8,2011,1122,131,0.116755793226381
8,2012,1108,80,0.072202166064982
8,2013,1074,18,0.0167597765363128
8,2014,619,69,0.111470113085622
10,1968,662,88,0.132930513595166
10,1969,692,16,0.023121387283237
10,1970,718,4,0.00557103064066852
10,1971,740,4,0.00540540540540541
10,1972,775,15,0.0193548387096774
10,1973,802,17,0.0211970074812968
10,1974,828,16,0.0193236714975845
10,1975,844,4,0.004739336492891
10,1976,865,2,0.0023121387283237
10,1977,872,0,0
10,1978,881,3,0.00340522133938706
10,1979,892,1,0.00112107623318386
10,1980,902,1,0.00110864745011086
10,1981,920,4,0.00434782608695652
10,1982,933,3,0.00321543408360129
10,1983,947,13,0.013727560718057
10,1984,959,86,0.0896767466110532
10,1985,966,7,0.0072463768115942
10,1986,978,5,0.00511247443762781
10,1987,995,1,0.00100502512562814
10,1988,1002,19,0.0189620758483034
10,1989,1021,11,0.0107737512242899
10,1990,1040,0,0
10,1991,1047,0,0
10,1992,1054,92,0.0872865275142315
10,1993,1059,30,0.028328611898017
10,1994,1070,22,0.0205607476635514
10,1995,1075,1,0.000930232558139535
10,1996,1082,31,0.0286506469500924
10,1997,1089,12,0.0110192837465565
10,1998,1095,8,0.00730593607305936
10,1999,1100,40,0.0363636363636364
10,2000,1106,10,0.00904159132007233
10,2001,1109,29,0.0261496844003607
10,2002,1112,37,0.033273381294964
10,2003,1118,20,0.0178890876565295
10,2004,1121,6,0.00535236396074933
10,2005,1123,0,0
10,2006,1125,5,0.00444444444444444
10,2007,1128,23,0.0203900709219858
10,2008,1129,3,0.00265721877767936
10,2009,1130,93,0.0823008849557522
10,2010,1130,44,0.0389380530973451
10,2011,1122,117,0.10427807486631
10,2012,1108,61,0.0550541516245487
10,2013,1074,24,0.0223463687150838
10,2014,619,73,0.117932148626817
15,1968,662,102,0.154078549848943
15,1969,692,4,0.00578034682080925
15,1970,718,13,0.0181058495821727
15,1971,740,5,0.00675675675675676
15,1972,775,6,0.00774193548387097
15,1973,802,9,0.0112219451371571
15,1974,828,18,0.0217391304347826
15,1975,844,14,0.0165876777251185
15,1976,865,1,0.00115606936416185
15,1977,872,0,0
15,1978,881,1,0.00113507377979569
15,1979,892,4,0.00448430493273543
15,1980,902,2,0.00221729490022173
15,1981,920,0,0
15,1982,933,0,0
15,1983,947,40,0.0422386483632524
15,1984,959,28,0.0291970802919708
15,1985,966,11,0.0113871635610766
15,1986,978,2,0.00204498977505112
15,1987,995,5,0.0050251256281407
15,1988,1002,5,0.00499001996007984
15,1989,1021,25,0.0244857982370225
15,1990,1040,1,0.000961538461538462
15,1991,1047,2,0.00191021967526266
15,1992,1054,79,0.0749525616698292
15,1993,1059,4,0.00377714825306893
15,1994,1070,46,0.0429906542056075
15,1995,1075,2,0.00186046511627907
15,1996,1082,29,0.0268022181146026
15,1997,1089,13,0.0119375573921028
15,1998,1095,4,0.00365296803652968
15,1999,1100,30,0.0272727272727273
