"names","values","fixed","steps","lower_bound","upper_bound","lower_start","upper_start","type"
"rho",1.20035610575249,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.410533230138883,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.60639497786912,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.436477418163634,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-1.32277491051801,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-1.07514213318295,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.177542408091178,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-1.88512476427609,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-2.24482101892411,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.320001721101072,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-1.76840419642635,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.303938487696186,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.493820648209546,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.783425835160859,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.514853143443643,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",-0.640495001039899,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.021617711729828,1,0.1,-3,3,-1,1,3
"rho",-0.946332875398865,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.207995329216873,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
"rho",0.0374951512756265,1,0.1,-3,3,-1,1,3
"rho",0,1,0.1,-3,3,-1,1,3
